day_id,time_step,L,PV,WT
362,1,116.03503974,0.00000000,64.27006520
362,2,108.52121761,0.00000000,60.80572950
362,3,98.48025859,0.00000000,54.51220790
362,4,98.40205963,0.00000000,54.41729970
362,5,98.20466935,0.00000000,52.36216940
362,6,97.21287685,0.00000000,40.62663100
362,7,88.65566102,0.00000000,42.07753530
362,8,73.60269848,0.00000000,38.20399260
362,9,59.35605564,0.00000000,25.11201200
362,10,49.59845687,0.00000000,11.19036880
362,11,53.57241294,0.00000000,30.59782760
362,12,62.54286708,0.00000000,37.48453970
362,13,69.34541359,0.00000000,35.83753890
362,14,72.75248586,0.00000000,36.41503340
362,15,70.90895379,0.00000000,33.63570800
362,16,70.38648509,0.00000000,35.27399130
362,17,65.24198913,0.00000000,32.43479860
362,18,62.17122603,0.00000000,30.21249210
362,19,58.08993237,0.00000000,26.02557320
362,20,54.78066637,0.00000000,27.79058990
362,21,54.70224072,0.00000000,27.91713750
362,22,54.51848950,0.00000000,24.09892620
362,23,68.11862233,0.00000000,28.46266120
362,24,79.56604189,0.00000000,40.61283440
362,25,89.13199272,0.00000000,55.50093140
362,26,81.14466983,0.00000000,54.65508310
362,27,78.24088611,0.00000000,55.24435850
362,28,68.88634170,0.00000000,53.11576310
362,29,67.68107206,0.00000000,40.72787180
362,30,60.08738451,0.00000000,37.51146900
362,31,64.63975340,0.00000000,39.67393540
362,32,70.40500960,0.00000000,33.09374590
362,33,74.24966635,0.00000000,28.83390320
362,34,71.50648354,0.00000000,27.87466350
362,35,66.42195913,0.00000000,26.49683670
362,36,73.36143524,0.00000000,31.94554740
362,37,85.38778310,0.00000000,41.98849460
362,38,103.76900657,0.00000000,44.51564930
362,39,126.48871145,0.00000000,45.79366940
362,40,146.48046200,40.85018890,53.60188860
362,41,158.46015934,51.21756150,39.08485030
362,42,154.74394174,59.95950710,26.18862210
362,43,144.38956543,39.42648940,25.69282820
362,44,142.57026136,14.95229450,28.01556280
362,45,143.17629550,14.97718480,26.12959430
362,46,153.53067181,23.42446760,30.27207050
362,47,156.88981654,57.35342950,38.43512920
362,48,160.00000000,59.00422090,33.84200680
362,49,160.00000000,59.30981960,31.96583600
362,50,158.39817456,49.97488710,28.42607270
362,51,153.73682186,23.79182620,33.93402720
362,52,141.90943660,15.89040450,28.54608810
362,53,134.33901928,12.22941690,15.36577480
362,54,134.41190933,14.41891290,9.29530800
362,55,137.52008412,15.41658510,12.65309900
362,56,126.82576010,14.07701380,19.64518740
362,57,110.93590817,10.65516680,16.03416590
362,58,94.81692846,9.70118550,16.45085160
362,59,93.61977223,6.77018740,13.84579360
362,60,85.74612306,5.65077960,14.64038940
362,61,84.85885593,0.00000000,17.67528430
362,62,73.12741238,0.00000000,10.26697010
362,63,69.19293042,0.00000000,7.63676490
362,64,54.94024282,0.00000000,7.30641220
362,65,48.35868027,0.00000000,1.91970070
362,66,45.23886066,0.00000000,1.46876080
362,67,59.52983160,0.00000000,1.09216990
362,68,79.05961991,0.00000000,0.74157460
362,69,87.81500233,0.00000000,0.79036690
362,70,91.92660151,0.00000000,1.02911180
362,71,96.04946435,0.00000000,8.70711730
362,72,112.44850801,0.00000000,16.01883480
362,73,118.93047575,0.00000000,13.31999350
362,74,118.67216031,0.00000000,9.40016930
362,75,112.01521264,0.00000000,10.91304730
362,76,106.96232635,0.00000000,5.72890630
362,77,104.93624921,0.00000000,0.84368570
362,78,101.33353516,0.00000000,1.04472010
362,79,103.81801362,0.00000000,1.39612110
362,80,103.73197737,0.00000000,2.58563770
362,81,108.86745736,0.00000000,1.25879040
362,82,110.46259737,0.00000000,1.58186610
362,83,111.78061435,0.00000000,1.94682130
362,84,104.70695021,0.00000000,6.99443520
362,85,99.35107320,0.00000000,6.80179890
362,86,95.58342147,0.00000000,2.88609760
362,87,98.39437314,0.00000000,3.36463950
362,88,95.02938571,0.00000000,1.86569890
362,89,90.52339147,0.00000000,2.10193660
362,90,84.16575828,0.00000000,1.69155970
362,91,83.92170282,0.00000000,1.75479630
362,92,77.82896609,0.00000000,1.71699990
362,93,66.76894289,0.00000000,1.49564610
362,94,48.32488564,0.00000000,1.72820800
362,95,43.89941800,0.00000000,1.38951410
362,96,45.38746770,0.00000000,1.45366850
203,1,83.62785046,0.00000000,27.66782160
203,2,84.13870841,0.00000000,28.86555250
203,3,84.08875201,0.00000000,31.48419320
203,4,77.27620622,0.00000000,33.79741130
203,5,79.21713650,0.00000000,30.47624830
203,6,81.98776180,0.00000000,32.98017050
203,7,86.94482524,0.00000000,27.42193600
203,8,81.58358769,0.00000000,33.87542720
203,9,69.47182780,0.00000000,26.17042520
203,10,64.14180144,0.00000000,26.89944740
203,11,56.70747622,0.00000000,33.70214040
203,12,59.79549820,0.00000000,28.51920340
203,13,62.31149655,0.00000000,31.22520960
203,14,70.49599091,0.00000000,31.88902690
203,15,76.04140666,0.00000000,31.43072540
203,16,73.83879584,0.00000000,35.24506280
203,17,71.02558184,0.00000000,38.35512950
203,18,66.86037588,0.00000000,29.80334640
203,19,68.49798031,0.00000000,31.55996120
203,20,71.93996118,0.00000000,36.93601620
203,21,70.57715046,0.00000000,30.39043850
203,22,69.99239439,0.00000000,32.26915950
203,23,69.02794922,0.00000000,31.20775950
203,24,80.93155824,0.00000000,34.35817950
203,25,82.67691009,0.00000000,37.25644250
203,26,79.97221919,0.00000000,34.73122290
203,27,65.53812074,0.00000000,26.04403550
203,28,65.37224702,0.00000000,34.81458460
203,29,60.58958664,0.13272150,35.93159050
203,30,65.02267295,0.22751660,27.19029330
203,31,59.22552086,0.32560790,37.02885300
203,32,71.65744345,0.43743950,31.71357480
203,33,81.73252921,0.48866250,39.09995640
203,34,89.53699623,0.56741630,38.17512460
203,35,86.94939217,0.67309450,36.50974780
203,36,78.51252274,0.69809700,40.91948310
203,37,79.94024780,0.74005200,37.90823670
203,38,85.23306139,0.75965330,35.46669600
203,39,100.76634732,0.76231750,35.70915410
203,40,110.47135096,0.78160840,34.14052660
203,41,121.23046674,0.82431570,36.27064090
203,42,118.73613255,0.87934610,33.86501920
203,43,125.08764441,0.93415880,33.65452920
203,44,124.51309787,1.04637130,40.55497240
203,45,137.17255661,1.19700160,34.47082350
203,46,137.48698601,1.45557720,33.12315880
203,47,142.06711100,1.64425460,30.52595070
203,48,132.79642351,2.24232270,41.75332290
203,49,129.17064310,3.20388500,33.08162710
203,50,128.78445821,3.56107880,26.97371320
203,51,134.35188277,3.93831780,29.69951500
203,52,138.25375671,4.35861510,31.79050760
203,53,133.95518263,4.68641280,28.36499940
203,54,139.68307412,5.22080590,23.68529150
203,55,147.48241792,5.81092580,36.75224600
203,56,152.63818871,5.95487290,29.72659790
203,57,141.22616123,5.98830020,28.24988260
203,58,130.19752555,5.92431290,29.08309590
203,59,120.97437482,6.32042250,32.50493900
203,60,122.01042150,6.54011870,31.28177220
203,61,112.41477629,6.37258430,31.60314700
203,62,113.15589939,5.79036120,27.96459430
203,63,105.55963918,5.66976030,30.18857760
203,64,107.30349904,5.56684090,35.87628610
203,65,93.87005270,5.40421220,32.56198620
203,66,90.68370881,5.08445020,24.08692040
203,67,89.97377981,4.82899580,37.89854610
203,68,107.37474836,4.30006400,33.03321380
203,69,125.41631493,4.12545930,31.90937110
203,70,134.17373798,3.68891710,32.05804190
203,71,134.17699008,3.45283390,34.46204790
203,72,132.31779060,3.04186660,30.00841940
203,73,143.15071759,2.79479280,32.14627210
203,74,145.05168068,2.31492480,34.03865050
203,75,141.67296816,1.77767080,27.49626130
203,76,135.23697280,1.26231480,30.23091240
203,77,138.55236883,0.91538480,29.94352980
203,78,143.46047523,0.53848770,36.34943500
203,79,139.17807261,0.33104360,32.29993910
203,80,138.76709663,0.20796570,26.89745020
203,81,137.60859960,0.11065780,29.76007120
203,82,142.94877268,0.00000000,30.93687160
203,83,144.12277734,0.00000000,29.14344540
203,84,145.47528973,0.00000000,25.31072330
203,85,138.01442817,0.00000000,32.71424400
203,86,129.48440653,0.00000000,28.89792560
203,87,122.77845997,0.00000000,22.81858260
203,88,127.16925178,0.00000000,26.32463650
203,89,126.66170459,0.00000000,29.56894420
203,90,123.33412164,0.00000000,31.55440510
203,91,116.81130998,0.00000000,24.13204230
203,92,116.44449573,0.00000000,27.24008110
203,93,110.96027704,0.00000000,31.58347790
203,94,96.53557470,0.00000000,29.87931980
203,95,73.23131080,0.00000000,26.34837540
203,96,56.17370113,0.00000000,23.77822640
45,1,56.88902793,0.00000000,16.92780080
45,2,51.61665278,0.00000000,10.20800780
45,3,54.71048208,0.00000000,14.92961870
45,4,59.23365761,0.00000000,17.80902820
45,5,64.54286319,0.00000000,16.77439940
45,6,62.04017698,0.00000000,18.09152320
45,7,58.98547718,0.00000000,23.27413530
45,8,63.96258102,0.00000000,29.06257260
45,9,68.25990777,0.00000000,37.44432700
45,10,82.06972608,0.00000000,50.19244150
45,11,96.15610169,0.00000000,76.69012170
45,12,110.39704090,0.00000000,88.77642890
45,13,115.12525439,0.00000000,83.46640900
45,14,109.75107924,0.00000000,79.55628170
45,15,105.94273604,0.00000000,75.76241990
45,16,100.88326555,0.00000000,73.06725610
45,17,101.05419494,0.00000000,72.68172380
45,18,98.60916462,0.00000000,69.19581400
45,19,92.28026533,0.00000000,62.35405300
45,20,88.51636417,0.00000000,55.53328630
45,21,84.15571002,0.00000000,52.03767510
45,22,88.73446692,0.00000000,47.74157370
45,23,82.32454196,0.00000000,43.02513580
45,24,73.12366569,0.00000000,34.54808260
45,25,52.08359431,0.00000000,18.23838920
45,26,44.36131014,0.00000000,7.85850260
45,27,36.67104691,0.00000000,7.99501440
45,28,38.19770929,0.00000000,7.88774680
45,29,34.88216434,0.00000000,5.22489780
45,30,40.54362194,0.00000000,3.11183200
45,31,46.23096737,1.67904580,3.11781350
45,32,48.81101862,2.25990590,3.08700390
45,33,48.15609393,2.86295270,3.56642350
45,34,47.06974068,3.54239170,4.88738140
45,35,54.91243086,4.07265090,7.33198290
45,36,59.68481259,4.70172480,8.63186550
45,37,69.10052027,5.31844610,6.27286590
45,38,71.46987398,5.48763020,4.85862140
45,39,79.22117009,5.30909650,4.53570370
45,40,78.17894123,5.99057550,4.79261310
45,41,83.06331630,6.79012040,3.27893240
45,42,86.72538762,7.06221560,0.00000000
